ticker,beta,mktcap_B,pe,roe,debt_equity,sector
ED,-0.14090848080215732,40.642936832,19.945036,0.08767,117.317,Utilities
GIS,-0.09752944651688684,23.242835968,9.367742,0.27173,147.23,Consumer Staples
DUK,0.0015093038973730145,102.557966336,20.933334,0.09724,171.838,Utilities
EXC,0.04282300363744979,50.37746176,18.040293,0.09936,174.488,Utilities
HSY,0.05366614772668552,47.056285696,53.46774,0.1889,123.763,Consumer Staples
AEP,0.08352883920986258,72.215830528,20.04805,0.12486,154.237,Utilities
CMS,0.08379232422320648,23.937601536,22.193182,0.108559996,194.861,Utilities
SO,0.09259424323827485,109.286162432,24.905611,0.11043,190.586,Utilities
UNH,0.09703326067660005,264.468627456,22.068027,0.12538,81.618,Health Care
WEC,0.10698496226481836,38.266212352,24.438671,0.11576,159.331,Utilities
MDLZ,0.11337080869048623,75.731140608,31.05291,0.09332,84.848,Consumer Staples
KO,0.15037566106910044,335.955656704,25.69079,0.43323,139.793,Consumer Staples
XEL,0.16695961500125236,49.12146432,24.2807,0.09358,152.832,Utilities
PNW,0.18031202505255617,12.452045824,20.394058,0.087749995,197.565,Utilities
JNJ,0.1956299392220186,591.148220416,22.219204,0.35029998,60.499,Health Care
PG,0.20955250265245645,370.498830336,23.486649,0.31562,68.719,Consumer Staples
T,0.21877591605004007,205.45224704,9.532895,0.18805,124.179,Communication Services
CI,0.2252346454934443,76.061401088,12.837691,0.1513,75.137,Health Care
ATO,0.22866926198855245,30.899032064,24.319012,0.09237,67.443,Utilities
EVRG,0.23267308105774037,19.417344,23.03825,0.08569,149.917,Utilities
D,0.24967851572137487,54.985613312,18.0317,0.09741,150.094,Utilities
CCI,0.2514788931021621,39.747821568,36.170635,,,Real Estate
MKC,0.25348031009318056,17.636390912,22.423206,0.14243001,73.211,Consumer Staples
ELV,0.29476929535054813,64.324378624,11.560889,0.1325,74.388,Health Care
ES,0.2992059120660836,28.282404864,16.517544,0.10777,184.946,Utilities
CF,0.3006585428467257,16.332104704,11.673355,0.23401,46.765,Materials
RSG,0.32220894253077825,71.685644288,33.80584,0.18301001,115.348,Industrials
MCD,0.34015660297682554,236.731121664,27.78392,,,Consumer Discretionary
XOM,0.3403687267969114,624.264544256,22.361197,0.110810004,18.936,Energy
VZ,0.34987886692708664,215.945428992,12.610838,0.17069,174.78,Communication Services
GILD,0.35646192414841316,184.003346432,21.893648,0.40655,112.923,Health Care
NEE,0.36656840836791404,192.93413376,28.060606,0.083739996,146.242,Utilities
NI,0.36776641929426673,22.759038976,24.389744,0.0907,139.284,Utilities
ABT,0.3956946951541727,196.531945472,30.403225,0.12961,26.787,Health Care
MRK,0.41468637992086543,297.379299328,16.521976,0.36882,95.959,Health Care
YUM,0.44594680432832307,44.1440256,28.646847,,,Consumer Discretionary
BRK-B,0.5028636988347052,1051.657568256,15.574442,0.09809,18.809,Financials
TJX,0.5146606273687506,179.995574272,33.209446,0.59129,132.375,Consumer Discretionary
LIN,0.5433410095996459,231.321731072,34.120983,0.17817,70.63,Materials
CMCSA,0.5543665840060036,116.932575232,5.953618,0.2141,107.863,Communication Services
COST,0.5610035268326813,446.949982208,54.067665,0.30325,26.968,Consumer Staples
GD,0.5687031704316369,98.995101696,23.697088,0.17658001,38.205,Industrials
LLY,0.570499693392621,898.214002688,43.671455,1.01159,165.31,Health Care
RTX,0.5773756909414104,280.296521728,42.016098,0.109519996,59.513,Industrials
FISV,0.5825634687481125,33.669527552,9.8738165,,,Information Technology
MDT,0.585028691200485,122.739400704,26.70391,0.0939,57.06,Health Care
WMT,0.5867970307940135,1019.01008896,46.645985,0.21847,63.19,Consumer Staples
PSA,0.6070408679849894,54.540386304,34.490566,0.18763,109.763,Real Estate
PAYX,0.6151789606780365,34.385494016,21.671946,0.40884998,129.814,Information Technology
VRTX,0.6212522558301078,121.384067072,31.153194,0.22541,10.908,Health Care
COP,0.6271584256319456,141.36352768,18.212599,0.12357,37.828,Energy
EOG,0.6611610063470968,69.354938368,14.0,0.16829,30.62,Energy
ADP,0.674601769818741,87.830085632,20.88077,0.73843,70.044,Information Technology
SYK,0.6926974714240086,146.144985088,45.4631,0.15079,72.971,Health Care
REGN,0.6953063433096346,83.254345728,18.975904,0.14864999,9.511,Health Care
