date,direction,equity
2020-09-04,MOMENTUM -> LOW-VOL,"$96,431"
2021-04-13,LOW-VOL -> MOMENTUM,"$107,206"
2021-04-19,MOMENTUM -> LOW-VOL,"$108,324"
2021-04-20,LOW-VOL -> MOMENTUM,"$108,059"
2021-05-11,MOMENTUM -> LOW-VOL,"$110,770"
2021-05-14,LOW-VOL -> MOMENTUM,"$109,049"
2021-05-18,MOMENTUM -> LOW-VOL,"$111,011"
2021-05-21,LOW-VOL -> MOMENTUM,"$111,214"
2021-09-17,MOMENTUM -> LOW-VOL,"$120,587"
2021-09-20,LOW-VOL -> MOMENTUM,"$119,550"
2021-09-24,MOMENTUM -> LOW-VOL,"$120,566"
2021-10-27,LOW-VOL -> MOMENTUM,"$123,946"
2021-10-28,MOMENTUM -> LOW-VOL,"$121,917"
2021-11-02,LOW-VOL -> MOMENTUM,"$122,285"
2021-11-03,MOMENTUM -> LOW-VOL,"$122,131"
2021-11-04,LOW-VOL -> MOMENTUM,"$122,128"
2021-11-12,MOMENTUM -> LOW-VOL,"$122,964"
2021-11-19,LOW-VOL -> MOMENTUM,"$123,451"
2021-11-22,MOMENTUM -> LOW-VOL,"$121,916"
2021-12-03,LOW-VOL -> MOMENTUM,"$120,140"
2022-01-04,MOMENTUM -> LOW-VOL,"$123,009"
2022-04-04,LOW-VOL -> MOMENTUM,"$125,442"
2022-04-05,MOMENTUM -> LOW-VOL,"$125,256"
2022-08-10,LOW-VOL -> MOMENTUM,"$123,538"
2022-08-11,MOMENTUM -> LOW-VOL,"$124,478"
2022-08-12,LOW-VOL -> MOMENTUM,"$124,063"
2022-08-19,MOMENTUM -> LOW-VOL,"$127,580"
2022-12-01,LOW-VOL -> MOMENTUM,"$123,714"
2022-12-05,MOMENTUM -> LOW-VOL,"$123,730"
2022-12-13,LOW-VOL -> MOMENTUM,"$124,231"
2022-12-14,MOMENTUM -> LOW-VOL,"$124,522"
2023-01-11,LOW-VOL -> MOMENTUM,"$123,692"
2023-01-18,MOMENTUM -> LOW-VOL,"$124,914"
2023-01-20,LOW-VOL -> MOMENTUM,"$121,007"
2023-02-09,MOMENTUM -> LOW-VOL,"$122,590"
2023-03-31,LOW-VOL -> MOMENTUM,"$122,919"
2023-05-22,MOMENTUM -> LOW-VOL,"$128,224"
2023-06-15,LOW-VOL -> MOMENTUM,"$125,930"
2023-07-06,MOMENTUM -> LOW-VOL,"$129,209"
2023-07-11,LOW-VOL -> MOMENTUM,"$127,467"
2023-08-01,MOMENTUM -> LOW-VOL,"$131,829"
2023-11-07,LOW-VOL -> MOMENTUM,"$126,891"
2023-11-09,MOMENTUM -> LOW-VOL,"$127,985"
2023-11-10,LOW-VOL -> MOMENTUM,"$127,551"
2024-02-13,MOMENTUM -> LOW-VOL,"$161,457"
2024-02-14,LOW-VOL -> MOMENTUM,"$160,496"
2024-02-15,MOMENTUM -> LOW-VOL,"$164,125"
2024-03-06,LOW-VOL -> MOMENTUM,"$167,556"
2024-03-14,MOMENTUM -> LOW-VOL,"$170,532"
2024-03-22,LOW-VOL -> MOMENTUM,"$171,459"
2024-03-25,MOMENTUM -> LOW-VOL,"$170,823"
2024-03-27,LOW-VOL -> MOMENTUM,"$170,203"
2024-04-01,MOMENTUM -> LOW-VOL,"$170,085"
2024-05-07,LOW-VOL -> MOMENTUM,"$166,354"
2024-05-08,MOMENTUM -> LOW-VOL,"$165,166"
2024-05-15,LOW-VOL -> MOMENTUM,"$166,047"
2024-05-28,MOMENTUM -> LOW-VOL,"$170,729"
2024-05-31,LOW-VOL -> MOMENTUM,"$168,505"
2024-10-07,MOMENTUM -> LOW-VOL,"$180,287"
2024-10-16,LOW-VOL -> MOMENTUM,"$183,345"
2024-10-17,MOMENTUM -> LOW-VOL,"$184,586"
2024-11-29,LOW-VOL -> MOMENTUM,"$188,050"
2024-12-12,MOMENTUM -> LOW-VOL,"$184,000"
2025-02-05,LOW-VOL -> MOMENTUM,"$183,604"
2025-02-07,MOMENTUM -> LOW-VOL,"$187,981"
2025-02-13,LOW-VOL -> MOMENTUM,"$189,207"
2025-03-10,MOMENTUM -> LOW-VOL,"$171,762"
2025-03-19,LOW-VOL -> MOMENTUM,"$170,710"
2025-03-26,MOMENTUM -> LOW-VOL,"$178,868"
2025-05-27,LOW-VOL -> MOMENTUM,"$178,177"
2025-05-28,MOMENTUM -> LOW-VOL,"$179,444"
2025-05-29,LOW-VOL -> MOMENTUM,"$177,676"
2025-06-13,MOMENTUM -> LOW-VOL,"$178,569"
2025-06-16,LOW-VOL -> MOMENTUM,"$176,868"
2025-06-17,MOMENTUM -> LOW-VOL,"$178,194"
2025-06-20,LOW-VOL -> MOMENTUM,"$176,819"
2025-11-13,MOMENTUM -> LOW-VOL,"$198,507"
2025-11-25,LOW-VOL -> MOMENTUM,"$198,130"
2025-12-08,MOMENTUM -> LOW-VOL,"$205,176"
2025-12-18,LOW-VOL -> MOMENTUM,"$206,447"
2025-12-19,MOMENTUM -> LOW-VOL,"$209,304"
2026-01-09,LOW-VOL -> MOMENTUM,"$209,385"
2026-01-12,MOMENTUM -> LOW-VOL,"$211,817"
2026-01-13,LOW-VOL -> MOMENTUM,"$211,836"
2026-01-20,MOMENTUM -> LOW-VOL,"$214,938"
2026-01-22,LOW-VOL -> MOMENTUM,"$214,427"
2026-01-28,MOMENTUM -> LOW-VOL,"$217,484"
2026-02-10,LOW-VOL -> MOMENTUM,"$220,266"
2026-02-12,MOMENTUM -> LOW-VOL,"$218,111"
2026-02-13,LOW-VOL -> MOMENTUM,"$219,331"
